title,text,subject,date
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,19-11-2002
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,10-09-2018
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,02-03-2019
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-01-2015
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,24-10-2015
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,11-03-2002
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,29-07-2002
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,19-06-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,27-05-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,08-04-2012
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,23-05-2020
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,30-01-2016
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,15-11-2007
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,12-07-2001
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,22-09-2019
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-10-2016
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,11-12-2012
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,10-04-2023
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,20-03-2013
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,19-12-2003
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,25-03-2023
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,02-08-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,04-06-2015
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-10-2013
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-12-2005
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,13-07-2016
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,29-05-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,24-02-2023
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-04-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,22-05-2020
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,03-10-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-03-2001
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-10-2014
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,04-07-2012
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,04-04-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-05-2020
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,02-11-2006
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,27-06-2016
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,06-02-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-01-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,11-02-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,30-11-2019
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,18-03-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,22-01-2012
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,19-12-2024
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,28-07-2015
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,11-07-2018
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,13-08-2006
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,23-01-2018
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,03-11-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,01-07-2001
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,07-09-2013
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,03-07-2005
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,06-06-2007
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,25-07-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,23-11-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,21-07-2015
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,30-11-2010
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,23-12-2002
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,24-09-2013
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,10-10-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,21-03-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,11-04-2013
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,05-12-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,13-07-2015
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,01-12-2008
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-01-2014
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,22-11-2004
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,15-11-2016
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,12-02-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,16-10-2000
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,24-09-2013
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,09-10-2011
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,06-09-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,14-04-2010
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-06-2000
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,10-10-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,19-12-2010
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,21-06-2000
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,10-10-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,08-09-2017
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,26-12-2014
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-08-2000
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,16-10-2024
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,30-01-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,08-02-2017
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,14-06-2005
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,21-06-2001
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,19-01-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,14-07-2021
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,13-04-2019
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-10-2001
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,02-03-2007
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,12-12-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,16-05-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,08-11-2017
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,04-09-2015
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,02-11-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-05-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-07-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,16-06-2009
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,26-03-2000
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,07-05-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,12-09-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,18-03-2006
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,04-11-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-02-2017
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-08-2024
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,21-11-2014
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-06-2010
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,23-10-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,14-07-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,01-10-2017
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,04-05-2002
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,17-12-2007
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,01-12-2019
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,07-07-2020
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,05-07-2015
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,10-06-2015
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,01-10-2009
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,19-01-2009
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-05-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-11-2009
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,06-09-2017
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,25-10-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,07-08-2013
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-12-2011
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,24-12-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,30-12-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,13-01-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,22-07-2019
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-05-2012
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,06-10-2007
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,25-08-2003
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,14-09-2005
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-12-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,28-08-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,24-10-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,10-04-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,05-03-2011
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,31-10-2021
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,31-12-2023
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,06-07-2008
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,10-12-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-12-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,21-05-2013
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-09-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,19-02-2001
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,20-02-2003
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,19-09-2004
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,27-10-2020
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,16-09-2010
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,05-02-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,22-01-2015
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,09-08-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,12-04-2012
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,21-05-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,13-02-2005
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-05-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,24-01-2015
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,02-10-2006
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,04-09-2016
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,11-04-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-05-2003
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,23-03-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,17-01-2016
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,18-04-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-01-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,29-03-2014
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,27-05-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,06-01-2017
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,24-10-2012
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,06-06-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,31-03-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,28-07-2002
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,30-11-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,06-04-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,21-09-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-12-2020
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-03-2004
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,12-10-2007
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-10-2022
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,19-02-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,24-04-2020
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,30-12-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-02-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-12-2023
